variant,turbine,lead_day,sector_i,sector,n,mae,rmse,bias,coverage_pct,width
selected,t2,1,0,N,11,0.04606445016347282,0.05382616067642777,0.0445492986483213,90.9090909090909,0.12241046448593931
selected,t2,1,1,NNE,12,0.04911369857639165,0.052621752808245305,0.04911369857639165,91.66666666666666,0.19585773973923282
selected,t2,1,2,NE,122,0.16961335653762752,0.23339204551999343,0.05566521483574498,72.95081967213115,0.4275723994108879
selected,t2,1,3,ENE,651,0.1995708265662258,0.26103914723876176,0.05643238788917819,70.81413210445469,0.5121944828808389
selected,t2,1,4,E,84,0.13365219461880212,0.19349786788888745,-0.06787999060816693,77.38095238095238,0.347671721691276
selected,t2,1,5,ESE,11,0.08990277819726787,0.12059744811006683,-0.012094571140829331,81.81818181818183,0.23140809211229085
selected,t2,1,6,SE,8,0.16932976572566558,0.2926107301057855,-0.1531087419573495,75.0,0.2595050898089153
selected,t2,1,7,SSE,6,0.16552306368543826,0.257793371875657,-0.11867384575555047,66.66666666666666,0.3592801085687261
selected,t2,1,8,S,7,0.19278163134527712,0.2429665185191079,-0.1901704507867982,42.857142857142854,0.31112262103627814
selected,t2,1,9,SSW,14,0.09847890751078651,0.1620945226094205,-0.01745238486725651,92.85714285714286,0.2263676448463857
selected,t2,1,10,SW,106,0.1723701179094268,0.22896185758095994,-0.02432373287767577,70.75471698113208,0.444619904759426
selected,t2,1,11,WSW,276,0.14352354213465912,0.20444752258200932,0.05316424925988583,74.27536231884058,0.3983380735794029
selected,t2,1,12,W,110,0.08737625446674391,0.11722503179704616,0.03033568686914562,82.72727272727273,0.2848632952786775
selected,t2,1,13,WNW,21,0.06165798378909989,0.085782197695601,0.03268671644979854,95.23809523809523,0.15373716937346926
selected,t2,1,14,NW,8,0.05579501645712019,0.0894990205506079,0.051822631494575014,87.5,0.11448616110622793
selected,t2,1,15,NNW,16,0.032528931272655076,0.06345709078976881,0.030028931272655074,93.75,0.11479779443542919
selected,t2,2,0,N,4,0.08551971340355498,0.12807905917192006,-0.03946500174806102,75.0,0.10175118693999172
selected,t2,2,1,NNE,17,0.07612475418173986,0.14817777342748067,0.06450567807144544,88.23529411764706,0.20110904894561657
selected,t2,2,2,NE,114,0.19567038249904334,0.2614506746253031,0.0634458948300949,66.66666666666666,0.4967920979846319
selected,t2,2,3,ENE,667,0.21059000219524884,0.2798471573682187,0.05670033301897228,72.56371814092954,0.5341443564835812
selected,t2,2,4,E,67,0.16390784528905866,0.20632636378826538,-0.029996497573389277,76.11940298507463,0.3975655088967416
selected,t2,2,5,ESE,19,0.15364185363557734,0.21555199013283377,-0.08821762212223347,73.68421052631578,0.28204478303554853
selected,t2,2,6,SE,10,0.1090230985240787,0.15347457898673147,-0.01720365485307717,90.0,0.330158411062233
selected,t2,2,7,SSE,10,0.12146424104520667,0.21332297764749722,-0.0032609332049744074,80.0,0.3366913479843737
selected,t2,2,8,S,8,0.18763942737202421,0.30729813538450984,-0.1469055409051568,62.5,0.21215360113995602
selected,t2,2,9,SSW,13,0.1411829210342622,0.20295044205683488,0.01704244729929225,69.23076923076923,0.29557153232916655
selected,t2,2,10,SW,112,0.17391486534922204,0.24441672525782862,-0.0035167697075939356,75.0,0.4885402305697714
selected,t2,2,11,WSW,268,0.1629446585911643,0.22776649764239157,0.02767626925976801,70.1492537313433,0.40546970945303495
selected,t2,2,12,W,106,0.11616345783505684,0.16984361202396145,0.025771110962785934,78.30188679245283,0.31216346531810246
selected,t2,2,13,WNW,25,0.06338878660213457,0.08444923528108522,0.027931639368591003,92.0,0.18346579834510293
selected,t2,2,14,NW,11,0.04044040531421309,0.048262875460186844,0.03041864310786909,81.81818181818183,0.11934099149951112
selected,t2,2,15,NNW,12,0.08754837279008075,0.13552859680640134,0.08305793709571675,91.66666666666666,0.21846461856926225
